Responsible Team                   | Siemens.SSF.Common.ResponsibleTeam                      | HasAllowedValues:False  | Required:False  |          default:Rebello, Jessel (CT DD DS AA DF-PD FH ES)
Earliest Detection In              | Siemens.Industry.Request.EarliestDetectionIn            | HasAllowedValues:True   | Required:False  |                                                   default:
Modifying Server Task              | Siemens.Industry.Request.ModifyingServerTask            | HasAllowedValues:False  | Required:False  |                                                   default:
Unique Identifier                  | Siemens.Industry.Common.Unique.Identifier               | HasAllowedValues:False  | Required:False  |                                                   default:
Root Cause                         | Microsoft.VSTS.CMMI.RootCause                           | HasAllowedValues:True   | Required:False  |                                                   default:
Restriction Tracking               | Siemens.Industry.Request.RestrictionTracking            | HasAllowedValues:True   | Required:False  |                                                   default:
Restriction Title                  | Siemens.Industry.Request.RestrictionTitle               | HasAllowedValues:False  | Required:False  |                                                   default:
Impact                             | Siemens.Industry.Common.Impact                          | HasAllowedValues:False  | Required:False  |                                                   default:
All PRs                            | Siemens.Industry.Request.AllPRs                         | HasAllowedValues:False  | Required:False  |                                                   default:
Solution                           | Siemens.Industry.Common.Solution                        | HasAllowedValues:True   | Required:False  |                                                   default:
Release Branches                   | Siemens.Industry.Request.ReleaseBranches                | HasAllowedValues:False  | Required:False  |                                                   default:
Configuration Name                 | Siemens.Industry.Request.ConfigurationName              | HasAllowedValues:False  | Required:False  |                                                   default:
Investigation By                   | Siemens.Industry.Common.InvestigationBy                 | HasAllowedValues:False  | Required:False  |                                                   default:
Investigation Date                 | Siemens.Industry.Common.InvestigationDate               | HasAllowedValues:False  | Required:False  |                                                   default:
Source PR                          | Siemens.Industry.Request.SourcePR                       | HasAllowedValues:False  | Required:False  |                                                   default:
External Reference ID              | Siemens.Industry.Common.ExternalRefID                   | HasAllowedValues:False  | Required:False  |                                                   default:
Global Tags                        | Siemens.Industry.Common.GlobalTags                      | HasAllowedValues:False  | Required:False  |                                                   default:
Project Tags                       | Siemens.Industry.Common.ProjectTags                     | HasAllowedValues:False  | Required:False  |                                                   default:
LatestCommitteeDecisionDate        | Siemens.Industry.Common.LatestCommitteeDecisionDate     | HasAllowedValues:False  | Required:False  |                                                   default:
ClusterValue                       | Siemens.Industry.Request.ClusterValue                   | HasAllowedValues:True   | Required:False  |                                                   default:
ClusterList                        | Siemens.Industry.Request.ClusterList                    | HasAllowedValues:True   | Required:False  |                                                   default:
Completed By                       | Siemens.Industry.Common.CompletedBy                     | HasAllowedValues:False  | Required:False  |                                                   default:
Completed Date                     | Siemens.Industry.Common.CompletedDate                   | HasAllowedValues:False  | Required:False  |                                                   default:
Synchronization Rev                | Siemens.Industry.Synchronization.Rev                    | HasAllowedValues:False  | Required:False  |                                                   default:
Synchronization Lock               | Siemens.Industry.Synchronization.Lock                   | HasAllowedValues:True   | Required:False  |                                               default:none
Reflected Id                       | Siemens.Industry.Common.IntegrationReflectedId          | HasAllowedValues:False  | Required:False  |                                                   default:
Reflected Source                   | Siemens.Industry.Common.IntegrationReflectedSourceGuid  | HasAllowedValues:False  | Required:False  |                                                   default:
Restriction Products List          | Siemens.Industry.Request.RestrictionProductsList        | HasAllowedValues:False  | Required:False  |                                                   default:
Values Verification                | Siemens.Industry.Common.ValuesVerification              | HasAllowedValues:False  | Required:False  |                                                   default:
Legacy Assigned To                 | Siemens.Industry.Common.LegacyAssignedTo                | HasAllowedValues:False  | Required:False  |                                                   default:
Legacy Originator                  | Siemens.Industry.Common.LegacyOriginator                | HasAllowedValues:False  | Required:False  |                                                   default:
Legacy Created Date                | Siemens.Industry.Common.LegacyCreatedDate               | HasAllowedValues:False  | Required:False  |                                                   default:
Reason Verification                | Siemens.Industry.Request.ReasonVerification             | HasAllowedValues:False  | Required:False  |                                                   default:
IsInstance                         | Siemens.Industry.Request.IsInstance                     | HasAllowedValues:True   | Required:False  |                                                 default:No
Restriction Overwrite              | Siemens.Industry.Request.RestrictionOverwrite           | HasAllowedValues:True   | Required:False  |                                                 default:No
Restriction Workaround             | Siemens.Industry.Request.RestrictionWorkaround          | HasAllowedValues:False  | Required:False  |                                                   default:
Restriction Description            | Siemens.Industry.Request.RestrictionDescription         | HasAllowedValues:False  | Required:False  |                                                   default:
Restriction Products               | Siemens.Industry.Request.RestrictionProducts            | HasAllowedValues:False  | Required:False  |                                                   default:
Restriction Keyword                | Siemens.Industry.Request.RestrictionKeyword             | HasAllowedValues:False  | Required:False  |                                                   default:
Repro Steps                        | Microsoft.VSTS.TCM.ReproSteps                           | HasAllowedValues:False  | Required:False  |                                                   default:
System Info                        | Microsoft.VSTS.TCM.SystemInfo                           | HasAllowedValues:False  | Required:False  |                                                   default:
MergedToReleaseBranch              | Siemens.Industry.Request.MergedToReleaseBranch          | HasAllowedValues:True   | Required:False  |                                                 default:No
