Unique Identifier       | Siemens.Industry.Common.Unique.Identifier              | HasAllowedValues:False  | Required:False  |                                                    default:
Backlog Priority        | Microsoft.VSTS.Common.BacklogPriority                  | HasAllowedValues:False  | Required:False  |                                                    default:
Story Points            | Microsoft.VSTS.Scheduling.StoryPoints                  | HasAllowedValues:False  | Required:False  |                                                    default:
Activity                | Microsoft.VSTS.Common.Activity                         | HasAllowedValues:True   | Required:False  |                                                    default:
Completed By            | Siemens.Industry.Common.CompletedBy                    | HasAllowedValues:False  | Required:False  |                                                    default:
Completed Date          | Siemens.Industry.Common.CompletedDate                  | HasAllowedValues:False  | Required:False  |                                                    default:
Reflected Id            | Siemens.Industry.Common.IntegrationReflectedId         | HasAllowedValues:False  | Required:False  |                                                    default:
Reflected Source        | Siemens.Industry.Common.IntegrationReflectedSourceGuid | HasAllowedValues:False  | Required:False  |                                                    default:
Latest Due Date         | Siemens.Industry.Common.LatestDueDate                  | HasAllowedValues:False  | Required:False  |                                                    default:
Feature Type            | Siemens.SSF.Custom.FeatureType                         | HasAllowedValues:True   | Required:True   |                                            default:Internal
Branchname              | Siemens.SSF.Custom.Branchname                          | HasAllowedValues:False  | Required:False  |                                                    default:
Severity                | Microsoft.VSTS.Common.Severity                         | HasAllowedValues:True   | Required:False  |                                                    default:
Resolution (Siemens)    | Siemens.SSF.Common.Resolution                          | HasAllowedValues:False  | Required:False  |                                                    default:
Due Date                | Microsoft.VSTS.Scheduling.DueDate                      | HasAllowedValues:False  | Required:False  |                                                    default:
Requirement Title       | Siemens.SSF.Common.RequirementTitle                    | HasAllowedValues:False  | Required:False  |                                                    default:
Requirement Rank        | Siemens.SSF.Common.RequirementRank                     | HasAllowedValues:False  | Required:False  |                                                    default:
IsCompleted             | Siemens.SSF.Common.IsCompleted                         | HasAllowedValues:True   | Required:False  |                                                   default:0
IsChild                 | Siemens.SSF.Common.IsChild                             | HasAllowedValues:True   | Required:False  |                                                   default:1
Development Team Name   | Siemens.SSF.Common.DevelopmentTeamName                 | HasAllowedValues:True   | Required:False  |                                                    default:
Development Team Type   | Siemens.SSF.Custom.DevelopmentTeamType                 | HasAllowedValues:True   | Required:False  |                                                    default:
Development Team Leader | Siemens.SSF.Common.DevelopmentTeamLeader               | HasAllowedValues:False  | Required:False  |                                                    default:
Requirement ID          | Siemens.SSF.Common.RequirementID                       | HasAllowedValues:False  | Required:False  |                                                    default:
Requirement Owner       | Siemens.SSF.Common.RequirementOwner                    | HasAllowedValues:True   | Required:False  |                                                    default:
RS Revision             | Siemens.SSF.Common.RSRevision                          | HasAllowedValues:False  | Required:False  |                                                    default:
Risk                    | Microsoft.VSTS.Common.Risk                             | HasAllowedValues:True   | Required:False  |                                                    default:
Cluster Title           | Siemens.SSF.Common.ClusterTitle                        | HasAllowedValues:False  | Required:False  |                                                    default:
Cluster Rank            | Siemens.SSF.Common.ClusterRank                         | HasAllowedValues:False  | Required:False  |                                                    default:
Baseline Iteration ID   | Siemens.Common.Baseline.IterationID                    | HasAllowedValues:False  | Required:False  |                                                  default:-1
Effort (Hours)          | Siemens.SSF.Custom.EstimatedEffort                     | HasAllowedValues:False  | Required:False  |                                                    default:
RS Title                | Siemens.SSF.Common.RSTitle                             | HasAllowedValues:False  | Required:False  |                                                    default:
RS Section Header       | Siemens.SSF.Common.RSSectionHeader                     | HasAllowedValues:False  | Required:False  |                                                    default:
RS Date                 | Siemens.SSF.Common.RSDate                              | HasAllowedValues:False  | Required:False  |                                                    default:
